Papel,Segmento,Cotação,FFO_Yield,Dividend_Yield,P/VP,Valor_de_Mercado,Liquidez,Qtd_de_imóveis,Preço_do_m2,Aluguel_por_m2,Cap_Rate,Vacância_Média
FIGS11,Shoppings,"50,90","10,37%","8,92%","0,63",145.065.000,146.715,2,"2.241,71","247,42","11,04%","5,84%"
FIIB11,Híbrido,"495,00","9,02%","7,51%","1,05",339.075.000,248.589,11,"610,64","61,19","10,02%","0,00%"
FIIP11B,Híbrido,"167,39","10,81%","8,95%","0,83",155.198.000,110.968,7,"2.200,31","261,05","11,86%","0,00%"
FISC11,Lajes Corporativas,"75,00","5,56%","5,82%","0,62",127.500.000,1.112,4,"10.112,10","777,43","7,69%","0,00%"
FLCR11,Títulos e Val. Mob.,"96,65","15,31%","12,63%","1,02",61.237.800,78.245,0,"0,00","0,00","0,00%","0,00%"
FLMA11,Híbrido,"137,61","8,51%","8,23%","0,63",189.994.000,70.061,2,"16.418,30","1.805,73","11,00%","0,00%"
FLRP11,Shoppings,"2.049,69","7,39%","7,00%","0,90",147.578.000,21.569,1,"2.886,46","231,34","8,01%","2,86%"
FMOF11,Lajes Corporativas,"44,70","2,22%","2,12%","0,38",22.708.000,3.012,2,"1.343,38","162,80","12,12%","30,48%"
FPAB11,Lajes Corporativas,"229,99","6,75%","4,25%","0,67",172.492.000,102.265,2,"4.725,68","346,66","7,34%","29,92%"
FPNG11,Lajes Corporativas,"200,00","1,91%","1,32%","1,16",465.858.000,1.366,8,"35.950,90","1.167,75","3,25%","5,72%"
FVPQ11,Shoppings,"60,66","17,14%","12,08%","0,32",169.857.000,82.739,1,"2.957,29","914,91","30,94%","13,60%"
FZDA11,Outros,"106,51","0,91%","0,98%","0,62",165.090.000,28.401,6,"1,90","0,03","1,76%","0,00%"
FZDB11,Outros,"122,86","3,33%","3,07%","0,73",442.296.000,2.725,16,"3,21","0,13","3,92%","0,00%"
GAME11,Outros,"8,99","6,49%","11,67%","0,93",195.062.000,172.909,0,"0,00","0,00","0,00%","0,00%"
GARE11,Híbrido,"9,02","4,89%","6,43%","0,98",1.135.310.000,5.813.650,4,"310,24","35,12","11,32%","0,00%"
GCOI11,Híbrido,"98,99","-1,73%","0,00%","1,03",11.185.900,292,5,"5.780,57","0,00","0,00%","0,00%"
GCRA11,Títulos e Val. Mob.,"51,85","18,38%","18,10%","0,60",90.782.400,243.544,0,"0,00","0,00","0,00%","0,00%"
GCRI11,Títulos e Val. Mob.,"63,40","12,50%","16,03%","0,71",92.174.700,146.985,0,"0,00","0,00","0,00%","0,00%"
GGRC11,Logística,"10,43","8,40%","9,85%","0,92",1.103.520.000,1.645.890,13,"1.321,95","144,15","10,90%","0,00%"
GLOG11,Logística,"59,74","17,57%","9,50%","0,55",44.805.000,34.707,1,"622,92","137,02","22,00%","0,00%"
GRWA11,Títulos e Val. Mob.,"9,02","9,37%","14,81%","0,88",24.881.500,26.451,0,"0,00","0,00","0,00%","0,00%"
GSFI11,Shoppings,"7,63","0,00%","0,00%","0,56",686.148.000,194.509,0,"0,00","0,00","0,00%","0,00%"
GTWR11,Lajes Corporativas,"76,01","12,78%","10,70%","0,75",912.120.000,1.069.600,3,"10.069,70","1.387,45","13,78%","0,00%"
GZIT11,Híbrido,"47,00","-12,64%","12,51%","0,49",1.026.540.000,777.74,5,"7.305,97","994,13","13,61%","3,00%"
HAAA11,Lajes Corporativas,"37,03","9,24%","6,08%","0,49",127.939.000,525,2,"9.728,20","1.251,68","12,87%","19,81%"
HABT11,Títulos e Val. Mob.,"81,80","14,39%","12,72%","0,85",664.771.000,1.164.040,0,"0,00","0,00","0,00%","0,00%"
HBCR11,Outros,"136,00","6,73%","11,14%","0,97",217.600.000,6.599.680,5,"1.428,66","276,63","19,36%","0,00%"
HCHG11,Outros,"67,20","12,15%","10,73%","0,70",80.640.000,65.892,0,"0,00","0,00","0,00%","0,00%"
HCRI11,Hospital,"272,00","12,02%","11,30%","0,85",54.400.000,35.768,1,"9.777,78","1.252,99","12,81%","0,00%"
HCTR11,Títulos e Val. Mob.,"29,02","14,14%","13,66%","0,26",640.884.000,964.527,0,"0,00","0,00","0,00%","0,00%"
HDEL11,Logística,"116,00","14,05%","12,09%","1,44",97.440.000,186,0,"0,00","0,00","0,00%","0,00%"
HFOF11,Títulos e Val. Mob.,"64,40","10,75%","10,13%","0,84",1.484.060.000,2.081.220,0,"0,00","0,00","0,00%","0,00%"
HGAG11,Outros,"15,80","8,33%","12,00%","0,66",3.922.380,1.872,0,"0,00","0,00","0,00%","0,00%"
